# L/ctau      LLPfraction
1.518987e-04  9.998635e-01
1.704332e-04  9.998468e-01
1.912292e-04  9.998281e-01
2.145627e-04  9.998072e-01
2.407433e-04  9.997836e-01
2.701184e-04  9.997572e-01
3.030778e-04  9.997276e-01
3.400589e-04  9.996944e-01
3.815524e-04  9.996571e-01
4.281088e-04  9.996153e-01
4.803460e-04  9.995683e-01
5.389570e-04  9.995156e-01
5.569620e-04  9.994995e-01
6.047198e-04  9.994566e-01
6.249217e-04  9.994384e-01
6.785067e-04  9.993903e-01
7.011736e-04  9.993699e-01
7.612971e-04  9.993159e-01
7.867298e-04  9.992930e-01
8.541894e-04  9.992324e-01
8.827253e-04  9.992068e-01
9.584162e-04  9.991388e-01
9.904341e-04  9.991100e-01
1.075361e-03  9.990337e-01
1.111285e-03  9.990015e-01
1.206575e-03  9.989159e-01
1.246883e-03  9.988797e-01
1.353799e-03  9.987836e-01
1.399025e-03  9.987430e-01
1.518987e-03  9.986353e-01
1.569732e-03  9.985897e-01
1.704332e-03  9.984689e-01
1.761269e-03  9.984177e-01
1.912292e-03  9.982821e-01
1.976176e-03  9.982248e-01
2.145627e-03  9.980726e-01
2.217306e-03  9.980083e-01
2.407433e-03  9.978376e-01
2.487858e-03  9.977655e-01
2.701184e-03  9.975740e-01
2.791423e-03  9.974930e-01
3.030778e-03  9.972782e-01
3.132028e-03  9.971874e-01
3.400589e-03  9.969465e-01
3.514193e-03  9.968446e-01
3.815524e-03  9.965743e-01
3.942989e-03  9.964600e-01
4.281088e-03  9.961568e-01
4.424107e-03  9.960286e-01
4.803460e-03  9.956885e-01
4.963929e-03  9.955447e-01
5.389570e-03  9.951633e-01
5.569620e-03  9.950019e-01
6.047198e-03  9.945741e-01
6.249217e-03  9.943932e-01
6.785067e-03  9.939134e-01
7.011736e-03  9.937105e-01
7.612971e-03  9.931723e-01
7.867298e-03  9.929448e-01
8.541894e-03  9.923413e-01
8.827253e-03  9.920861e-01
9.584162e-03  9.914094e-01
9.904341e-03  9.911233e-01
1.075361e-02  9.903645e-01
1.111285e-02  9.900437e-01
1.206575e-02  9.891930e-01
1.246883e-02  9.888333e-01
1.353799e-02  9.878795e-01
1.399025e-02  9.874763e-01
1.518987e-02  9.864072e-01
1.569732e-02  9.859552e-01
1.704332e-02  9.847570e-01
1.761269e-02  9.842504e-01
1.912292e-02  9.829075e-01
1.976176e-02  9.823399e-01
2.145627e-02  9.808352e-01
2.217306e-02  9.801991e-01
2.407433e-02  9.785134e-01
2.487858e-02  9.778009e-01
2.701184e-02  9.759127e-01
2.791423e-02  9.751147e-01
3.030778e-02  9.730002e-01
3.132028e-02  9.721067e-01
3.400589e-02  9.697393e-01
3.514193e-02  9.687391e-01
3.815524e-02  9.660894e-01
3.942989e-02  9.649700e-01
4.281088e-02  9.620052e-01
4.424107e-02  9.607529e-01
4.803460e-02  9.574368e-01
4.963929e-02  9.560364e-01
5.389570e-02  9.523289e-01
5.569620e-02  9.507635e-01
6.047198e-02  9.466203e-01
6.249217e-02  9.448714e-01
6.785067e-02  9.402438e-01
7.011736e-02  9.382911e-01
7.612971e-02  9.331255e-01
7.867298e-02  9.309466e-01
8.541894e-02  9.251848e-01
8.827253e-02  9.227552e-01
9.584162e-02  9.163334e-01
9.904341e-02  9.136267e-01
1.075361e-01  9.064759e-01
1.111285e-01  9.034635e-01
1.206575e-01  8.955094e-01
1.246883e-01  8.921606e-01
1.353799e-01  8.833237e-01
1.399025e-01  8.796057e-01
1.518987e-01  8.698018e-01
1.569732e-01  8.656800e-01
1.704332e-01  8.548208e-01
1.761269e-01  8.502594e-01
1.912292e-01  8.382536e-01
1.976176e-01  8.332157e-01
2.145627e-01  8.199704e-01
2.217306e-01  8.144190e-01
2.407433e-01  7.998423e-01
2.487858e-01  7.937411e-01
2.701184e-01  7.777445e-01
2.791423e-01  7.710593e-01
