# L/ctau      LLPfraction
1.518987e-04  9.998159e-01
1.704332e-04  9.997935e-01
1.912292e-04  9.997683e-01
2.145627e-04  9.997400e-01
2.407433e-04  9.997083e-01
2.701184e-04  9.996727e-01
3.030778e-04  9.996328e-01
3.400589e-04  9.995880e-01
3.815524e-04  9.995377e-01
4.281088e-04  9.994813e-01
4.803460e-04  9.994180e-01
5.389570e-04  9.993470e-01
5.569620e-04  9.993252e-01
6.047198e-04  9.992674e-01
6.249217e-04  9.992429e-01
6.785067e-04  9.991780e-01
7.011736e-04  9.991506e-01
7.612971e-04  9.990778e-01
7.867298e-04  9.990470e-01
8.541894e-04  9.989653e-01
8.827253e-04  9.989308e-01
9.584162e-04  9.988392e-01
9.904341e-04  9.988004e-01
1.075361e-03  9.986976e-01
1.111285e-03  9.986541e-01
1.206575e-03  9.985388e-01
1.246883e-03  9.984900e-01
1.353799e-03  9.983607e-01
1.399025e-03  9.983059e-01
1.518987e-03  9.981608e-01
1.569732e-03  9.980994e-01
1.704332e-03  9.979367e-01
1.761269e-03  9.978678e-01
1.912292e-03  9.976852e-01
1.976176e-03  9.976080e-01
2.145627e-03  9.974031e-01
2.217306e-03  9.973165e-01
2.407433e-03  9.970867e-01
2.487858e-03  9.969896e-01
2.701184e-03  9.967319e-01
2.791423e-03  9.966229e-01
3.030778e-03  9.963338e-01
3.132028e-03  9.962116e-01
3.400589e-03  9.958875e-01
3.514193e-03  9.957504e-01
3.815524e-03  9.953868e-01
3.942989e-03  9.952331e-01
4.281088e-03  9.948255e-01
4.424107e-03  9.946531e-01
4.803460e-03  9.941960e-01
4.963929e-03  9.940027e-01
5.389570e-03  9.934902e-01
5.569620e-03  9.932734e-01
6.047198e-03  9.926988e-01
6.249217e-03  9.924559e-01
6.785067e-03  9.918117e-01
7.011736e-03  9.915394e-01
7.612971e-03  9.908174e-01
7.867298e-03  9.905121e-01
8.541894e-03  9.897029e-01
8.827253e-03  9.893608e-01
9.584162e-03  9.884540e-01
9.904341e-03  9.880707e-01
1.075361e-02  9.870546e-01
1.111285e-02  9.866252e-01
1.206575e-02  9.854870e-01
1.246883e-02  9.850059e-01
1.353799e-02  9.837311e-01
1.399025e-02  9.831923e-01
1.518987e-02  9.817648e-01
1.569732e-02  9.811616e-01
1.704332e-02  9.795634e-01
1.761269e-02  9.788882e-01
1.912292e-02  9.770995e-01
