# L/ctau      LLPfraction
1.518987e-04  9.998377e-01
1.704332e-04  9.998179e-01
1.912292e-04  9.997957e-01
2.145627e-04  9.997708e-01
2.407433e-04  9.997428e-01
2.701184e-04  9.997114e-01
3.030778e-04  9.996762e-01
3.400589e-04  9.996367e-01
3.815524e-04  9.995924e-01
4.281088e-04  9.995427e-01
4.803460e-04  9.994869e-01
5.389570e-04  9.994243e-01
5.569620e-04  9.994051e-01
6.047198e-04  9.993541e-01
6.249217e-04  9.993325e-01
6.785067e-04  9.992753e-01
7.011736e-04  9.992511e-01
7.612971e-04  9.991869e-01
7.867298e-04  9.991598e-01
8.541894e-04  9.990877e-01
8.827253e-04  9.990573e-01
9.584162e-04  9.989765e-01
9.904341e-04  9.989423e-01
1.075361e-03  9.988517e-01
1.111285e-03  9.988133e-01
1.206575e-03  9.987116e-01
1.246883e-03  9.986686e-01
1.353799e-03  9.985545e-01
1.399025e-03  9.985063e-01
1.518987e-03  9.983783e-01
1.569732e-03  9.983242e-01
1.704332e-03  9.981806e-01
1.761269e-03  9.981198e-01
1.912292e-03  9.979588e-01
1.976176e-03  9.978907e-01
2.145627e-03  9.977100e-01
2.217306e-03  9.976336e-01
2.407433e-03  9.974309e-01
2.487858e-03  9.973452e-01
2.701184e-03  9.971178e-01
2.791423e-03  9.970217e-01
3.030778e-03  9.967667e-01
3.132028e-03  9.966589e-01
3.400589e-03  9.963729e-01
3.514193e-03  9.962519e-01
3.815524e-03  9.959311e-01
3.942989e-03  9.957955e-01
4.281088e-03  9.954357e-01
4.424107e-03  9.952836e-01
4.803460e-03  9.948801e-01
4.963929e-03  9.947095e-01
5.389570e-03  9.942571e-01
5.569620e-03  9.940658e-01
6.047198e-03  9.935585e-01
6.249217e-03  9.933439e-01
6.785067e-03  9.927751e-01
7.011736e-03  9.925346e-01
7.612971e-03  9.918969e-01
7.867298e-03  9.916273e-01
8.541894e-03  9.909124e-01
8.827253e-03  9.906102e-01
9.584162e-03  9.898089e-01
9.904341e-03  9.894701e-01
1.075361e-02  9.885721e-01
1.111285e-02  9.881925e-01
1.206575e-02  9.871861e-01
1.246883e-02  9.867607e-01
1.353799e-02  9.856332e-01
1.399025e-02  9.851566e-01
1.518987e-02  9.838935e-01
1.569732e-02  9.833597e-01
1.704332e-02  9.819450e-01
1.761269e-02  9.813471e-01
1.912292e-02  9.797630e-01
1.976176e-02  9.790937e-01
2.145627e-02  9.773203e-01
2.217306e-02  9.765710e-01
2.407433e-02  9.745863e-01
2.487858e-02  9.737479e-01
2.701184e-02  9.715273e-01
2.791423e-02  9.705894e-01
3.030778e-02  9.681058e-01
3.132028e-02  9.670571e-01
3.400589e-02  9.642804e-01
3.514193e-02  9.631082e-01
3.815524e-02  9.600053e-01
3.942989e-02  9.586956e-01
4.281088e-02  9.552298e-01
4.424107e-02  9.537673e-01
4.803460e-02  9.498984e-01
4.963929e-02  9.482663e-01
5.389570e-02  9.439501e-01
5.569620e-02  9.421299e-01
6.047198e-02  9.373180e-01
6.249217e-02  9.352896e-01
6.785067e-02  9.299295e-01
7.011736e-02  9.276709e-01
7.612971e-02  9.217055e-01
7.867298e-02  9.191930e-01
8.541894e-02  9.125605e-01
8.827253e-02  9.097687e-01
9.584162e-02  9.024030e-01
9.904341e-02  8.993045e-01
1.075361e-01  8.911350e-01
