# L/ctau      LLPfraction
1.518987e-04  9.998656e-01
1.704332e-04  9.998492e-01
1.912292e-04  9.998308e-01
2.145627e-04  9.998101e-01
2.407433e-04  9.997870e-01
2.701184e-04  9.997610e-01
3.030778e-04  9.997318e-01
3.400589e-04  9.996991e-01
3.815524e-04  9.996624e-01
4.281088e-04  9.996212e-01
4.803460e-04  9.995750e-01
5.389570e-04  9.995231e-01
5.569620e-04  9.995072e-01
6.047198e-04  9.994650e-01
6.249217e-04  9.994471e-01
6.785067e-04  9.993997e-01
7.011736e-04  9.993796e-01
7.612971e-04  9.993265e-01
7.867298e-04  9.993040e-01
8.541894e-04  9.992443e-01
8.827253e-04  9.992191e-01
9.584162e-04  9.991521e-01
9.904341e-04  9.991238e-01
1.075361e-03  9.990487e-01
1.111285e-03  9.990169e-01
1.206575e-03  9.989327e-01
1.246883e-03  9.988970e-01
1.353799e-03  9.988025e-01
1.399025e-03  9.987625e-01
1.518987e-03  9.986565e-01
1.569732e-03  9.986116e-01
1.704332e-03  9.984926e-01
1.761269e-03  9.984423e-01
1.912292e-03  9.983088e-01
1.976176e-03  9.982524e-01
2.145627e-03  9.981026e-01
2.217306e-03  9.980393e-01
2.407433e-03  9.978713e-01
2.487858e-03  9.978003e-01
2.701184e-03  9.976118e-01
2.791423e-03  9.975321e-01
3.030778e-03  9.973207e-01
3.132028e-03  9.972313e-01
3.400589e-03  9.969942e-01
3.514193e-03  9.968939e-01
3.815524e-03  9.966279e-01
3.942989e-03  9.965154e-01
4.281088e-03  9.962170e-01
4.424107e-03  9.960909e-01
4.803460e-03  9.957562e-01
4.963929e-03  9.956147e-01
5.389570e-03  9.952393e-01
5.569620e-03  9.950806e-01
6.047198e-03  9.946597e-01
6.249217e-03  9.944817e-01
6.785067e-03  9.940096e-01
7.011736e-03  9.938099e-01
7.612971e-03  9.932806e-01
7.867298e-03  9.930567e-01
8.541894e-03  9.924631e-01
8.827253e-03  9.922121e-01
9.584162e-03  9.915465e-01
9.904341e-03  9.912650e-01
1.075361e-02  9.905188e-01
1.111285e-02  9.902033e-01
1.206575e-02  9.893668e-01
1.246883e-02  9.890131e-01
1.353799e-02  9.880754e-01
1.399025e-02  9.876789e-01
1.518987e-02  9.866280e-01
1.569732e-02  9.861837e-01
1.704332e-02  9.850060e-01
1.761269e-02  9.845082e-01
1.912292e-02  9.831886e-01
1.976176e-02  9.826308e-01
2.145627e-02  9.811526e-01
2.217306e-02  9.805278e-01
2.407433e-02  9.788721e-01
2.487858e-02  9.781723e-01
2.701184e-02  9.763183e-01
2.791423e-02  9.755348e-01
3.030778e-02  9.734592e-01
3.132028e-02  9.725822e-01
3.400589e-02  9.702591e-01
3.514193e-02  9.692778e-01
3.815524e-02  9.666786e-01
3.942989e-02  9.655808e-01
4.281088e-02  9.626738e-01
