# L/ctau      LLPfraction
1.518987e-04  9.998706e-01
1.704332e-04  9.998549e-01
1.912292e-04  9.998371e-01
2.145627e-04  9.998173e-01
2.407433e-04  9.997950e-01
2.701184e-04  9.997700e-01
3.030778e-04  9.997419e-01
3.400589e-04  9.997104e-01
3.815524e-04  9.996751e-01
4.281088e-04  9.996354e-01
4.803460e-04  9.995910e-01
5.389570e-04  9.995411e-01
5.569620e-04  9.995257e-01
6.047198e-04  9.994851e-01
6.249217e-04  9.994679e-01
6.785067e-04  9.994222e-01
7.011736e-04  9.994029e-01
7.612971e-04  9.993518e-01
7.867298e-04  9.993301e-01
8.541894e-04  9.992727e-01
8.827253e-04  9.992484e-01
9.584162e-04  9.991840e-01
9.904341e-04  9.991567e-01
1.075361e-03  9.990844e-01
1.111285e-03  9.990539e-01
1.206575e-03  9.989728e-01
1.246883e-03  9.989385e-01
1.353799e-03  9.988475e-01
1.399025e-03  9.988090e-01
1.518987e-03  9.987069e-01
1.569732e-03  9.986638e-01
1.704332e-03  9.985492e-01
1.761269e-03  9.985008e-01
1.912292e-03  9.983723e-01
1.976176e-03  9.983180e-01
2.145627e-03  9.981739e-01
2.217306e-03  9.981129e-01
2.407433e-03  9.979512e-01
2.487858e-03  9.978828e-01
2.701184e-03  9.977015e-01
2.791423e-03  9.976247e-01
3.030778e-03  9.974213e-01
3.132028e-03  9.973352e-01
3.400589e-03  9.971070e-01
3.514193e-03  9.970105e-01
3.815524e-03  9.967544e-01
3.942989e-03  9.966461e-01
4.281088e-03  9.963590e-01
4.424107e-03  9.962375e-01
4.803460e-03  9.959154e-01
4.963929e-03  9.957792e-01
5.389570e-03  9.954179e-01
5.569620e-03  9.952651e-01
6.047198e-03  9.948599e-01
6.249217e-03  9.946886e-01
6.785067e-03  9.942342e-01
7.011736e-03  9.940420e-01
7.612971e-03  9.935324e-01
7.867298e-03  9.933169e-01
8.541894e-03  9.927455e-01
8.827253e-03  9.925039e-01
9.584162e-03  9.918631e-01
9.904341e-03  9.915922e-01
1.075361e-02  9.908738e-01
1.111285e-02  9.905701e-01
1.206575e-02  9.897648e-01
1.246883e-02  9.894243e-01
1.353799e-02  9.885215e-01
1.399025e-02  9.881398e-01
1.518987e-02  9.871280e-01
1.569732e-02  9.867003e-01
1.704332e-02  9.855664e-01
1.761269e-02  9.850870e-01
1.912292e-02  9.838165e-01
1.976176e-02  9.832794e-01
2.145627e-02  9.818559e-01
2.217306e-02  9.812543e-01
2.407433e-02  9.796599e-01
2.487858e-02  9.789861e-01
2.701184e-02  9.772005e-01
2.791423e-02  9.764460e-01
3.030778e-02  9.744469e-01
3.132028e-02  9.736022e-01
3.400589e-02  9.713646e-01
3.514193e-02  9.704193e-01
3.815524e-02  9.679155e-01
3.942989e-02  9.668580e-01
4.281088e-02  9.640572e-01
4.424107e-02  9.628745e-01
4.803460e-02  9.597429e-01
4.963929e-02  9.584206e-01
5.389570e-02  9.549206e-01
5.569620e-02  9.534431e-01
6.047198e-02  9.495332e-01
6.249217e-02  9.478831e-01
6.785067e-02  9.435178e-01
7.011736e-02  9.416761e-01
7.612971e-02  9.368053e-01
7.867298e-02  9.347512e-01
8.541894e-02  9.293205e-01
8.827253e-02  9.270310e-01
9.584162e-02  9.209809e-01
9.904341e-02  9.184315e-01
1.075361e-01  9.116976e-01
1.111285e-01  9.088615e-01
1.206575e-01  9.013744e-01
1.246883e-01  8.982228e-01
1.353799e-01  8.899083e-01
1.399025e-01  8.864108e-01
1.518987e-01  8.771900e-01
1.569732e-01  8.733141e-01
1.704332e-01  8.631042e-01
1.761269e-01  8.588162e-01
1.912292e-01  8.475310e-01
1.976176e-01  8.427959e-01
2.145627e-01  8.303475e-01
2.217306e-01  8.251301e-01
2.407433e-01  8.114301e-01
2.487858e-01  8.056954e-01
2.701184e-01  7.906576e-01
2.791423e-01  7.843720e-01
3.030778e-01  7.679153e-01
3.132028e-01  7.610479e-01
3.400589e-01  7.431001e-01
3.514193e-01  7.356244e-01
3.815524e-01  7.161268e-01
3.942989e-01  7.080228e-01
4.281088e-01  6.869356e-01
4.424107e-01  6.781922e-01
4.803460e-01  6.555012e-01
4.963929e-01  6.461188e-01
5.389570e-01  6.218425e-01
5.569620e-01  6.118361e-01
6.047198e-01  5.860332e-01
6.249217e-01  5.754353e-01
6.785067e-01  5.482125e-01
7.011736e-01  5.370765e-01
7.612971e-01  5.085957e-01
7.867298e-01  4.969980e-01
8.541894e-01  4.674815e-01
8.827253e-01  4.555235e-01
9.584162e-01  4.252573e-01
9.904341e-01  4.130660e-01
1.075361e+00  3.823988e-01
1.111285e+00  3.701254e-01
1.206575e+00  3.394629e-01
1.246883e+00  3.272794e-01
1.353799e+00  2.970728e-01
1.399025e+00  2.851659e-01
1.518987e+00  2.558936e-01
1.569732e+00  2.444567e-01
1.704332e+00  2.166004e-01
1.761269e+00  2.058225e-01
1.912292e+00  1.798384e-01
1.976176e+00  1.698924e-01
2.145627e+00  1.461805e-01
2.217306e+00  1.372106e-01
2.407433e+00  1.160851e-01
2.487858e+00  1.081958e-01
2.701184e+00  8.986049e-02
2.791423e+00  8.310873e-02
3.030778e+00  6.764163e-02
3.132028e+00  6.203255e-02
3.400589e+00  4.938230e-02
3.514193e+00  4.487051e-02
3.815524e+00  3.486571e-02
3.942989e+00  3.136153e-02
4.281088e+00  2.373218e-02
4.424107e+00  2.111224e-02
4.803460e+00  1.552024e-02
4.963929e+00  1.364084e-02
