# L/ctau      LLPfraction
1.518987e-04  9.998430e-01
1.704332e-04  9.998238e-01
1.912292e-04  9.998023e-01
2.145627e-04  9.997782e-01
2.407433e-04  9.997511e-01
2.701184e-04  9.997208e-01
3.030778e-04  9.996867e-01
3.400589e-04  9.996485e-01
3.815524e-04  9.996056e-01
4.281088e-04  9.995575e-01
4.803460e-04  9.995035e-01
5.389570e-04  9.994429e-01
5.569620e-04  9.994243e-01
6.047198e-04  9.993750e-01
6.249217e-04  9.993541e-01
6.785067e-04  9.992987e-01
7.011736e-04  9.992753e-01
7.612971e-04  9.992132e-01
7.867298e-04  9.991869e-01
8.541894e-04  9.991172e-01
8.827253e-04  9.990877e-01
9.584162e-04  9.990096e-01
9.904341e-04  9.989765e-01
1.075361e-03  9.988888e-01
1.111285e-03  9.988517e-01
1.206575e-03  9.987533e-01
1.246883e-03  9.987116e-01
1.353799e-03  9.986012e-01
1.399025e-03  9.985545e-01
1.518987e-03  9.984307e-01
1.569732e-03  9.983783e-01
1.704332e-03  9.982393e-01
1.761269e-03  9.981806e-01
1.912292e-03  9.980247e-01
1.976176e-03  9.979588e-01
2.145627e-03  9.977839e-01
2.217306e-03  9.977100e-01
2.407433e-03  9.975139e-01
2.487858e-03  9.974309e-01
2.701184e-03  9.972109e-01
2.791423e-03  9.971178e-01
3.030778e-03  9.968711e-01
3.132028e-03  9.967667e-01
3.400589e-03  9.964899e-01
3.514193e-03  9.963728e-01
3.815524e-03  9.960624e-01
3.942989e-03  9.959311e-01
4.281088e-03  9.955829e-01
4.424107e-03  9.954357e-01
4.803460e-03  9.950452e-01
4.963929e-03  9.948801e-01
5.389570e-03  9.944422e-01
5.569620e-03  9.942571e-01
6.047198e-03  9.937661e-01
6.249217e-03  9.935584e-01
6.785067e-03  9.930079e-01
7.011736e-03  9.927751e-01
7.612971e-03  9.921579e-01
7.867298e-03  9.918969e-01
8.541894e-03  9.912050e-01
8.827253e-03  9.909124e-01
9.584162e-03  9.901368e-01
9.904341e-03  9.898089e-01
1.075361e-02  9.889396e-01
1.111285e-02  9.885721e-01
1.206575e-02  9.875979e-01
1.246883e-02  9.871860e-01
1.353799e-02  9.860945e-01
1.399025e-02  9.856331e-01
1.518987e-02  9.844102e-01
1.569732e-02  9.838934e-01
1.704332e-02  9.825237e-01
1.761269e-02  9.819448e-01
1.912292e-02  9.804110e-01
1.976176e-02  9.797629e-01
2.145627e-02  9.780456e-01
2.217306e-02  9.773201e-01
2.407433e-02  9.753980e-01
2.487858e-02  9.745860e-01
2.701184e-02  9.724353e-01
2.791423e-02  9.715269e-01
3.030778e-02  9.691213e-01
3.132028e-02  9.681054e-01
3.400589e-02  9.654156e-01
3.514193e-02  9.642799e-01
3.815524e-02  9.612736e-01
3.942989e-02  9.600045e-01
4.281088e-02  9.566462e-01
4.424107e-02  9.552289e-01
4.803460e-02  9.514792e-01
4.963929e-02  9.498973e-01
5.389570e-02  9.457132e-01
5.569620e-02  9.439486e-01
6.047198e-02  9.392832e-01
6.249217e-02  9.373162e-01
6.785067e-02  9.321179e-01
7.011736e-02  9.299272e-01
7.612971e-02  9.241402e-01
7.867298e-02  9.217026e-01
8.541894e-02  9.152666e-01
8.827253e-02  9.125570e-01
9.584162e-02  9.054069e-01
9.904341e-02  9.023985e-01
1.075361e-01  8.944652e-01
