# L/ctau      LLPfraction
1.518987e-04  9.998082e-01
1.704332e-04  9.997848e-01
1.912292e-04  9.997585e-01
2.145627e-04  9.997291e-01
2.407433e-04  9.996960e-01
2.701184e-04  9.996590e-01
3.030778e-04  9.996174e-01
3.400589e-04  9.995707e-01
3.815524e-04  9.995183e-01
4.281088e-04  9.994595e-01
4.803460e-04  9.993936e-01
5.389570e-04  9.993196e-01
5.569620e-04  9.992969e-01
6.047198e-04  9.992367e-01
6.249217e-04  9.992112e-01
6.785067e-04  9.991436e-01
7.011736e-04  9.991150e-01
7.612971e-04  9.990391e-01
7.867298e-04  9.990070e-01
8.541894e-04  9.989219e-01
8.827253e-04  9.988860e-01
9.584162e-04  9.987905e-01
9.904341e-04  9.987501e-01
1.075361e-03  9.986430e-01
1.111285e-03  9.985977e-01
1.206575e-03  9.984776e-01
1.246883e-03  9.984268e-01
1.353799e-03  9.982920e-01
1.399025e-03  9.982350e-01
1.518987e-03  9.980838e-01
1.569732e-03  9.980198e-01
1.704332e-03  9.978502e-01
1.761269e-03  9.977785e-01
1.912292e-03  9.975883e-01
1.976176e-03  9.975078e-01
2.145627e-03  9.972944e-01
2.217306e-03  9.972041e-01
2.407433e-03  9.969648e-01
2.487858e-03  9.968636e-01
2.701184e-03  9.965951e-01
2.791423e-03  9.964816e-01
3.030778e-03  9.961805e-01
3.132028e-03  9.960532e-01
3.400589e-03  9.957155e-01
3.514193e-03  9.955727e-01
3.815524e-03  9.951941e-01
3.942989e-03  9.950339e-01
4.281088e-03  9.946093e-01
4.424107e-03  9.944298e-01
4.803460e-03  9.939537e-01
4.963929e-03  9.937524e-01
5.389570e-03  9.932186e-01
5.569620e-03  9.929929e-01
6.047198e-03  9.923945e-01
6.249217e-03  9.921415e-01
6.785067e-03  9.914707e-01
7.011736e-03  9.911871e-01
7.612971e-03  9.904353e-01
7.867298e-03  9.901175e-01
8.541894e-03  9.892749e-01
8.827253e-03  9.889187e-01
9.584162e-03  9.879747e-01
9.904341e-03  9.875756e-01
1.075361e-02  9.865179e-01
1.111285e-02  9.860709e-01
1.206575e-02  9.848861e-01
1.246883e-02  9.843854e-01
1.353799e-02  9.830587e-01
1.399025e-02  9.824980e-01
1.518987e-02  9.810125e-01
1.569732e-02  9.803848e-01
1.704332e-02  9.787221e-01
1.761269e-02  9.780196e-01
1.912292e-02  9.761589e-01
1.976176e-02  9.753730e-01
2.145627e-02  9.732915e-01
2.217306e-02  9.724125e-01
2.407433e-02  9.700849e-01
2.487858e-02  9.691021e-01
2.701184e-02  9.665004e-01
2.791423e-02  9.654021e-01
3.030778e-02  9.624953e-01
3.132028e-02  9.612685e-01
3.400589e-02  9.580225e-01
3.514193e-02  9.566530e-01
3.815524e-02  9.530303e-01
3.942989e-02  9.515023e-01
4.281088e-02  9.474618e-01
4.424107e-02  9.457582e-01
4.803460e-02  9.412551e-01
4.963929e-02  9.393571e-01
5.389570e-02  9.343425e-01
5.569620e-02  9.322298e-01
6.047198e-02  9.266506e-01
6.249217e-02  9.243013e-01
6.785067e-02  9.181004e-01
7.011736e-02  9.154907e-01
7.612971e-02  9.086066e-01
7.867298e-02  9.057112e-01
8.541894e-02  8.980787e-01
8.827253e-02  8.948706e-01
9.584162e-02  8.864204e-01
9.904341e-02  8.828714e-01
1.075361e-01  8.735310e-01
1.111285e-01  8.696115e-01
1.206575e-01  8.593058e-01
1.246883e-01  8.549855e-01
1.353799e-01  8.436377e-01
1.399025e-01  8.388858e-01
1.518987e-01  8.264190e-01
1.569732e-01  8.212048e-01
1.704332e-01  8.075433e-01
1.761269e-01  8.018374e-01
1.912292e-01  7.869092e-01
1.976176e-01  7.806837e-01
2.145627e-01  7.644233e-01
2.217306e-01  7.576538e-01
2.407433e-01  7.400050e-01
2.487858e-01  7.326715e-01
2.701184e-01  7.135918e-01
2.791423e-01  7.056808e-01
3.030778e-01  6.851455e-01
3.132028e-01  6.766513e-01
3.400589e-01  6.546588e-01
3.514193e-01  6.455859e-01
3.815524e-01  6.221626e-01
3.942989e-01  6.125282e-01
4.281088e-01  5.877345e-01
4.424107e-01  5.775702e-01
4.803460e-01  5.515056e-01
4.963929e-01  5.408597e-01
5.389570e-01  5.136680e-01
5.569620e-01  5.026074e-01
6.047198e-01  4.744803e-01
6.249217e-01  4.630914e-01
6.785067e-01  4.342704e-01
7.011736e-01  4.226597e-01
7.612971e-01  3.934358e-01
7.867298e-01  3.817290e-01
8.541894e-01  3.524389e-01
8.827253e-01  3.407786e-01
9.584162e-01  3.117969e-01
9.904341e-01  3.003387e-01
1.075361e+00  2.720659e-01
1.111285e+00  2.609728e-01
1.206575e+00  2.338191e-01
