# L/ctau      LLPfraction
1.518987e-04  9.998348e-01
1.704332e-04  9.998147e-01
1.912292e-04  9.997920e-01
2.145627e-04  9.997667e-01
2.407433e-04  9.997382e-01
2.701184e-04  9.997063e-01
3.030778e-04  9.996704e-01
3.400589e-04  9.996302e-01
3.815524e-04  9.995851e-01
4.281088e-04  9.995345e-01
4.803460e-04  9.994777e-01
5.389570e-04  9.994140e-01
5.569620e-04  9.993944e-01
6.047198e-04  9.993425e-01
6.249217e-04  9.993205e-01
6.785067e-04  9.992623e-01
7.011736e-04  9.992377e-01
7.612971e-04  9.991723e-01
7.867298e-04  9.991447e-01
8.541894e-04  9.990714e-01
8.827253e-04  9.990404e-01
9.584162e-04  9.989581e-01
9.904341e-04  9.989233e-01
1.075361e-03  9.988311e-01
1.111285e-03  9.987920e-01
1.206575e-03  9.986885e-01
1.246883e-03  9.986448e-01
1.353799e-03  9.985286e-01
1.399025e-03  9.984795e-01
1.518987e-03  9.983492e-01
1.569732e-03  9.982941e-01
1.704332e-03  9.981480e-01
1.761269e-03  9.980862e-01
1.912292e-03  9.979222e-01
1.976176e-03  9.978529e-01
2.145627e-03  9.976690e-01
2.217306e-03  9.975912e-01
2.407433e-03  9.973849e-01
2.487858e-03  9.972977e-01
2.701184e-03  9.970663e-01
2.791423e-03  9.969684e-01
3.030778e-03  9.967089e-01
3.132028e-03  9.965991e-01
3.400589e-03  9.963080e-01
3.514193e-03  9.961849e-01
3.815524e-03  9.958584e-01
3.942989e-03  9.957203e-01
4.281088e-03  9.953542e-01
4.424107e-03  9.951993e-01
4.803460e-03  9.947887e-01
4.963929e-03  9.946150e-01
5.389570e-03  9.941546e-01
5.569620e-03  9.939599e-01
6.047198e-03  9.934436e-01
6.249217e-03  9.932253e-01
6.785067e-03  9.926464e-01
7.011736e-03  9.924016e-01
7.612971e-03  9.917527e-01
7.867298e-03  9.914783e-01
8.541894e-03  9.907508e-01
8.827253e-03  9.904432e-01
9.584162e-03  9.896278e-01
9.904341e-03  9.892831e-01
1.075361e-02  9.883693e-01
1.111285e-02  9.879830e-01
1.206575e-02  9.869590e-01
1.246883e-02  9.865262e-01
1.353799e-02  9.853789e-01
1.399025e-02  9.848940e-01
1.518987e-02  9.836090e-01
1.569732e-02  9.830658e-01
