# L/ctau      LLPfraction
1.518987e-04  9.998642e-01
1.704332e-04  9.998477e-01
1.912292e-04  9.998291e-01
2.145627e-04  9.998082e-01
2.407433e-04  9.997848e-01
2.701184e-04  9.997586e-01
3.030778e-04  9.997291e-01
3.400589e-04  9.996960e-01
3.815524e-04  9.996590e-01
4.281088e-04  9.996174e-01
4.803460e-04  9.995707e-01
5.389570e-04  9.995183e-01
5.569620e-04  9.995022e-01
6.047198e-04  9.994595e-01
6.249217e-04  9.994415e-01
6.785067e-04  9.993936e-01
7.011736e-04  9.993733e-01
7.612971e-04  9.993196e-01
7.867298e-04  9.992969e-01
8.541894e-04  9.992366e-01
8.827253e-04  9.992111e-01
9.584162e-04  9.991435e-01
9.904341e-04  9.991149e-01
1.075361e-03  9.990391e-01
1.111285e-03  9.990070e-01
1.206575e-03  9.989219e-01
1.246883e-03  9.988858e-01
1.353799e-03  9.987904e-01
1.399025e-03  9.987500e-01
1.518987e-03  9.986428e-01
1.569732e-03  9.985975e-01
1.704332e-03  9.984773e-01
1.761269e-03  9.984265e-01
1.912292e-03  9.982917e-01
1.976176e-03  9.982346e-01
2.145627e-03  9.980834e-01
2.217306e-03  9.980194e-01
2.407433e-03  9.978497e-01
2.487858e-03  9.977779e-01
2.701184e-03  9.975876e-01
2.791423e-03  9.975071e-01
3.030778e-03  9.972935e-01
3.132028e-03  9.972032e-01
3.400589e-03  9.969637e-01
3.514193e-03  9.968624e-01
3.815524e-03  9.965937e-01
3.942989e-03  9.964801e-01
4.281088e-03  9.961787e-01
4.424107e-03  9.960512e-01
4.803460e-03  9.957132e-01
4.963929e-03  9.955702e-01
5.389570e-03  9.951911e-01
5.569620e-03  9.950308e-01
6.047198e-03  9.946056e-01
6.249217e-03  9.944257e-01
6.785067e-03  9.939489e-01
7.011736e-03  9.937472e-01
7.612971e-03  9.932125e-01
7.867298e-03  9.929864e-01
8.541894e-03  9.923868e-01
8.827253e-03  9.921332e-01
9.584162e-03  9.914609e-01
9.904341e-03  9.911767e-01
1.075361e-02  9.904229e-01
1.111285e-02  9.901042e-01
1.206575e-02  9.892593e-01
1.246883e-02  9.889021e-01
1.353799e-02  9.879550e-01
1.399025e-02  9.875545e-01
1.518987e-02  9.864931e-01
1.569732e-02  9.860443e-01
1.704332e-02  9.848548e-01
1.761269e-02  9.843520e-01
1.912292e-02  9.830192e-01
1.976176e-02  9.824559e-01
2.145627e-02  9.809629e-01
2.217306e-02  9.803319e-01
2.407433e-02  9.786597e-01
2.487858e-02  9.779530e-01
2.701184e-02  9.760806e-01
2.791423e-02  9.752894e-01
3.030778e-02  9.731932e-01
3.132028e-02  9.723075e-01
3.400589e-02  9.699616e-01
3.514193e-02  9.689705e-01
3.815524e-02  9.663458e-01
3.942989e-02  9.652373e-01
4.281088e-02  9.623018e-01
4.424107e-02  9.610622e-01
4.803460e-02  9.577805e-01
4.963929e-02  9.563950e-01
5.389570e-02  9.527279e-01
5.569620e-02  9.511801e-01
6.047198e-02  9.470845e-01
6.249217e-02  9.453563e-01
6.785067e-02  9.407849e-01
7.011736e-02  9.388565e-01
7.612971e-02  9.337573e-01
7.867298e-02  9.316072e-01
8.541894e-02  9.259236e-01
8.827253e-02  9.235281e-01
9.584162e-02  9.171987e-01
9.904341e-02  9.145322e-01
1.075361e-01  9.074906e-01
1.111285e-01  9.045256e-01
1.206575e-01  8.967002e-01
1.246883e-01  8.934072e-01
1.353799e-01  8.847220e-01
1.399025e-01  8.810696e-01
1.518987e-01  8.714439e-01
1.569732e-01  8.673992e-01
1.704332e-01  8.567487e-01
1.761269e-01  8.522774e-01
1.912292e-01  8.405152e-01
1.976176e-01  8.355822e-01
2.145627e-01  8.226199e-01
2.217306e-01  8.171901e-01
2.407433e-01  8.029402e-01
2.487858e-01  7.969789e-01
2.701184e-01  7.813572e-01
2.791423e-01  7.748319e-01
3.030778e-01  7.577606e-01
3.132028e-01  7.506422e-01
3.400589e-01  7.320545e-01
3.514193e-01  7.243191e-01
3.815524e-01  7.041638e-01
3.942989e-01  6.957949e-01
4.281088e-01  6.740425e-01
4.424107e-01  6.650337e-01
4.803460e-01  6.416832e-01
4.963929e-01  6.320407e-01
5.389570e-01  6.071269e-01
5.569620e-01  5.968729e-01
6.047198e-01  5.704742e-01
6.249217e-01  5.596497e-01
6.785067e-01  5.318953e-01
7.011736e-01  5.205631e-01
7.612971e-01  4.916396e-01
7.867298e-01  4.798866e-01
8.541894e-01  4.500427e-01
8.827253e-01  4.379807e-01
9.584162e-01  4.075284e-01
9.904341e-01  3.952946e-01
1.075361e+00  3.646066e-01
1.111285e+00  3.523609e-01
1.206575e+00  3.218622e-01
1.246883e+00  3.097830e-01
1.353799e+00  2.799370e-01
1.399025e+00  2.682141e-01
1.518987e+00  2.395015e-01
1.569732e+00  2.283271e-01
1.704332e+00  2.012205e-01
1.761269e+00  1.907774e-01
1.912292e+00  1.657114e-01
1.976176e+00  1.561613e-01
2.145627e+00  1.335020e-01
2.217306e+00  1.249733e-01
2.407433e+00  1.049906e-01
2.487858e+00  9.756877e-02
2.701184e+00  8.041580e-02
2.791423e+00  7.413662e-02
3.030778e+00  5.983840e-02
3.132028e+00  5.468624e-02
3.400589e+00  4.314156e-02
3.514193e+00  3.905247e-02
3.815524e+00  3.004810e-02
3.942989e+00  2.691787e-02
4.281088e+00  2.015379e-02
4.424107e+00  1.784978e-02
4.803460e+00  1.297182e-02
4.963929e+00  1.134677e-02
5.389570e+00  7.981690e-03
5.569620e+00  6.887494e-03
6.047198e+00  4.675544e-03
6.249217e+00  3.975111e-03
6.785067e+00  2.595659e-03
7.011736e+00  2.171326e-03
7.612971e+00  1.358986e-03
7.867298e+00  1.116906e-03
8.541894e+00  6.675024e-04
8.827253e+00  5.381476e-04
9.584162e+00  3.058752e-04
9.904341e+00  2.415071e-04
1.075361e+01  1.300103e-04
1.111285e+01  1.003636e-04
1.206575e+01  5.095968e-05
