# L/ctau      LLPfraction
1.518987e-04  9.998631e-01
1.704332e-04  9.998464e-01
1.912292e-04  9.998277e-01
2.145627e-04  9.998066e-01
2.407433e-04  9.997830e-01
2.701184e-04  9.997566e-01
3.030778e-04  9.997269e-01
3.400589e-04  9.996936e-01
3.815524e-04  9.996562e-01
4.281088e-04  9.996142e-01
4.803460e-04  9.995672e-01
5.389570e-04  9.995143e-01
5.569620e-04  9.994981e-01
6.047198e-04  9.994551e-01
6.249217e-04  9.994369e-01
6.785067e-04  9.993886e-01
7.011736e-04  9.993682e-01
7.612971e-04  9.993140e-01
7.867298e-04  9.992911e-01
8.541894e-04  9.992304e-01
8.827253e-04  9.992047e-01
9.584162e-04  9.991365e-01
9.904341e-04  9.991076e-01
1.075361e-03  9.990311e-01
1.111285e-03  9.989988e-01
1.206575e-03  9.989130e-01
1.246883e-03  9.988767e-01
1.353799e-03  9.987804e-01
1.399025e-03  9.987396e-01
1.518987e-03  9.986316e-01
1.569732e-03  9.985859e-01
1.704332e-03  9.984647e-01
1.761269e-03  9.984135e-01
1.912292e-03  9.982775e-01
1.976176e-03  9.982200e-01
2.145627e-03  9.980675e-01
2.217306e-03  9.980029e-01
2.407433e-03  9.978318e-01
2.487858e-03  9.977594e-01
2.701184e-03  9.975675e-01
2.791423e-03  9.974863e-01
3.030778e-03  9.972709e-01
3.132028e-03  9.971798e-01
3.400589e-03  9.969382e-01
3.514193e-03  9.968361e-01
3.815524e-03  9.965651e-01
3.942989e-03  9.964505e-01
4.281088e-03  9.961465e-01
4.424107e-03  9.960179e-01
4.803460e-03  9.956769e-01
4.963929e-03  9.955327e-01
5.389570e-03  9.951502e-01
5.569620e-03  9.949885e-01
6.047198e-03  9.945595e-01
6.249217e-03  9.943781e-01
6.785067e-03  9.938970e-01
7.011736e-03  9.936935e-01
7.612971e-03  9.931540e-01
7.867298e-03  9.929258e-01
8.541894e-03  9.923207e-01
8.827253e-03  9.920648e-01
9.584162e-03  9.913863e-01
9.904341e-03  9.910994e-01
1.075361e-02  9.903386e-01
1.111285e-02  9.900169e-01
1.206575e-02  9.891639e-01
1.246883e-02  9.888032e-01
1.353799e-02  9.878469e-01
1.399025e-02  9.874426e-01
1.518987e-02  9.863706e-01
1.569732e-02  9.859174e-01
1.704332e-02  9.847159e-01
1.761269e-02  9.842079e-01
1.912292e-02  9.828615e-01
1.976176e-02  9.822922e-01
2.145627e-02  9.807835e-01
2.217306e-02  9.801457e-01
2.407433e-02  9.784554e-01
2.487858e-02  9.777410e-01
2.701184e-02  9.758477e-01
2.791423e-02  9.750476e-01
3.030778e-02  9.729273e-01
3.132028e-02  9.720314e-01
3.400589e-02  9.696576e-01
3.514193e-02  9.686546e-01
3.815524e-02  9.659977e-01
3.942989e-02  9.648753e-01
4.281088e-02  9.619025e-01
4.424107e-02  9.606468e-01
4.803460e-02  9.573216e-01
4.963929e-02  9.559175e-01
5.389570e-02  9.521998e-01
5.569620e-02  9.506302e-01
6.047198e-02  9.464757e-01
6.249217e-02  9.447221e-01
6.785067e-02  9.400818e-01
7.011736e-02  9.381238e-01
7.612971e-02  9.329442e-01
7.867298e-02  9.307593e-01
8.541894e-02  9.249818e-01
8.827253e-02  9.225456e-01
9.584162e-02  9.161062e-01
9.904341e-02  9.133922e-01
1.075361e-01  9.062219e-01
1.111285e-01  9.032014e-01
1.206575e-01  8.952256e-01
1.246883e-01  8.918677e-01
1.353799e-01  8.830068e-01
1.399025e-01  8.792787e-01
1.518987e-01  8.694482e-01
1.569732e-01  8.653154e-01
1.704332e-01  8.544268e-01
1.761269e-01  8.498532e-01
1.912292e-01  8.378151e-01
1.976176e-01  8.327638e-01
2.145627e-01  8.194833e-01
2.217306e-01  8.139172e-01
2.407433e-01  7.993022e-01
2.487858e-01  7.931850e-01
2.701184e-01  7.771469e-01
2.791423e-01  7.704446e-01
3.030778e-01  7.529023e-01
3.132028e-01  7.455846e-01
3.400589e-01  7.264691e-01
3.514193e-01  7.185115e-01
3.815524e-01  6.977716e-01
3.942989e-01  6.891581e-01
4.281088e-01  6.667668e-01
4.424107e-01  6.574927e-01
4.803460e-01  6.334552e-01
4.963929e-01  6.235301e-01
5.389570e-01  5.978918e-01
5.569620e-01  5.873431e-01
6.047198e-01  5.601984e-01
6.249217e-01  5.490746e-01
6.785067e-01  5.205745e-01
7.011736e-01  5.089484e-01
7.612971e-01  4.793073e-01
