# L/ctau      LLPfraction
1.518987e-04  9.998460e-01
1.704332e-04  9.998272e-01
1.912292e-04  9.998061e-01
2.145627e-04  9.997824e-01
2.407433e-04  9.997559e-01
2.701184e-04  9.997261e-01
3.030778e-04  9.996927e-01
3.400589e-04  9.996552e-01
3.815524e-04  9.996131e-01
4.281088e-04  9.995659e-01
4.803460e-04  9.995130e-01
5.389570e-04  9.994536e-01
5.569620e-04  9.994353e-01
6.047198e-04  9.993869e-01
6.249217e-04  9.993665e-01
6.785067e-04  9.993121e-01
7.011736e-04  9.992892e-01
7.612971e-04  9.992282e-01
7.867298e-04  9.992025e-01
8.541894e-04  9.991341e-01
8.827253e-04  9.991052e-01
9.584162e-04  9.990285e-01
9.904341e-04  9.989961e-01
1.075361e-03  9.989100e-01
1.111285e-03  9.988736e-01
1.206575e-03  9.987771e-01
1.246883e-03  9.987363e-01
1.353799e-03  9.986280e-01
1.399025e-03  9.985822e-01
1.518987e-03  9.984607e-01
1.569732e-03  9.984093e-01
1.704332e-03  9.982730e-01
1.761269e-03  9.982154e-01
1.912292e-03  9.980625e-01
1.976176e-03  9.979979e-01
2.145627e-03  9.978264e-01
2.217306e-03  9.977538e-01
2.407433e-03  9.975614e-01
2.487858e-03  9.974801e-01
2.701184e-03  9.972643e-01
2.791423e-03  9.971730e-01
3.030778e-03  9.969310e-01
3.132028e-03  9.968286e-01
3.400589e-03  9.965571e-01
3.514193e-03  9.964423e-01
3.815524e-03  9.961378e-01
3.942989e-03  9.960090e-01
4.281088e-03  9.956675e-01
4.424107e-03  9.955231e-01
4.803460e-03  9.951401e-01
4.963929e-03  9.949781e-01
5.389570e-03  9.945486e-01
5.569620e-03  9.943670e-01
6.047198e-03  9.938854e-01
6.249217e-03  9.936817e-01
6.785067e-03  9.931417e-01
7.011736e-03  9.929134e-01
7.612971e-03  9.923080e-01
7.867298e-03  9.920520e-01
8.541894e-03  9.913733e-01
8.827253e-03  9.910863e-01
9.584162e-03  9.903255e-01
9.904341e-03  9.900039e-01
1.075361e-02  9.891512e-01
1.111285e-02  9.887907e-01
1.206575e-02  9.878352e-01
1.246883e-02  9.874312e-01
1.353799e-02  9.863605e-01
1.399025e-02  9.859080e-01
1.518987e-02  9.847085e-01
1.569732e-02  9.842015e-01
1.704332e-02  9.828580e-01
1.761269e-02  9.822902e-01
1.912292e-02  9.807856e-01
1.976176e-02  9.801499e-01
2.145627e-02  9.784654e-01
2.217306e-02  9.777537e-01
2.407433e-02  9.758684e-01
2.487858e-02  9.750719e-01
2.701184e-02  9.729623e-01
2.791423e-02  9.720712e-01
3.030778e-02  9.697114e-01
3.132028e-02  9.687149e-01
3.400589e-02  9.660763e-01
3.514193e-02  9.649623e-01
3.815524e-02  9.620132e-01
3.942989e-02  9.607684e-01
4.281088e-02  9.574739e-01
4.424107e-02  9.560836e-01
4.803460e-02  9.524052e-01
4.963929e-02  9.508533e-01
5.389570e-02  9.467487e-01
5.569620e-02  9.450175e-01
6.047198e-02  9.404405e-01
6.249217e-02  9.385108e-01
6.785067e-02  9.334108e-01
7.011736e-02  9.312615e-01
7.612971e-02  9.255837e-01
7.867298e-02  9.231921e-01
8.541894e-02  9.168771e-01
8.827253e-02  9.142184e-01
9.584162e-02  9.072025e-01
9.904341e-02  9.042504e-01
1.075361e-01  8.964652e-01
1.111285e-01  8.931916e-01
1.206575e-01  8.845646e-01
1.246883e-01  8.809398e-01
1.353799e-01  8.713950e-01
1.399025e-01  8.673879e-01
1.518987e-01  8.568461e-01
1.569732e-01  8.524246e-01
1.704332e-01  8.408046e-01
1.761269e-01  8.359361e-01
1.912292e-01  8.231560e-01
1.976176e-01  8.178080e-01
2.145627e-01  8.037874e-01
2.217306e-01  7.979281e-01
2.407433e-01  7.825900e-01
2.487858e-01  7.761899e-01
2.701184e-01  7.594638e-01
2.791423e-01  7.524966e-01
3.030778e-01  7.343225e-01
3.132028e-01  7.267668e-01
3.400589e-01  7.070991e-01
3.514193e-01  6.989404e-01
3.815524e-01  6.777532e-01
3.942989e-01  6.689858e-01
4.281088e-01  6.462789e-01
4.424107e-01  6.369087e-01
4.803460e-01  6.127132e-01
4.963929e-01  6.027600e-01
5.389570e-01  5.771455e-01
5.569620e-01  5.666456e-01
6.047198e-01  5.397262e-01
6.249217e-01  5.287347e-01
6.785067e-01  5.006746e-01
7.011736e-01  4.892681e-01
7.612971e-01  4.602859e-01
7.867298e-01  4.485627e-01
8.541894e-01  4.189333e-01
8.827253e-01  4.070144e-01
9.584162e-01  3.770676e-01
9.904341e-01  3.650951e-01
1.075361e+00  3.352099e-01
1.111285e+00  3.233436e-01
1.206575e+00  2.939380e-01
1.246883e+00  2.823505e-01
1.353799e+00  2.538651e-01
1.399025e+00  2.427343e-01
1.518987e+00  2.156122e-01
1.569732e+00  2.051118e-01
1.704332e+00  1.797732e-01
1.761269e+00  1.700629e-01
1.912292e+00  1.468784e-01
1.976176e+00  1.380924e-01
2.145627e+00  1.173572e-01
2.217306e+00  1.095951e-01
2.407433e+00  9.150624e-02
2.487858e+00  8.482481e-02
2.701184e+00  6.946700e-02
2.791423e+00  6.387650e-02
3.030778e+00  5.121656e-02
3.132028e+00  4.668080e-02
3.400589e+00  3.657416e-02
3.514193e+00  3.301531e-02
3.815524e+00  2.522313e-02
3.942989e+00  2.253047e-02
