# L/ctau      LLPfraction
1.518987e-04  9.997841e-01
1.704332e-04  9.997578e-01
1.912292e-04  9.997282e-01
2.145627e-04  9.996951e-01
2.407433e-04  9.996579e-01
2.701184e-04  9.996161e-01
3.030778e-04  9.995693e-01
3.400589e-04  9.995168e-01
3.815524e-04  9.994578e-01
4.281088e-04  9.993917e-01
4.803460e-04  9.993175e-01
5.389570e-04  9.992342e-01
5.569620e-04  9.992087e-01
6.047198e-04  9.991408e-01
6.249217e-04  9.991121e-01
6.785067e-04  9.990360e-01
7.011736e-04  9.990039e-01
7.612971e-04  9.989185e-01
7.867298e-04  9.988824e-01
8.541894e-04  9.987866e-01
8.827253e-04  9.987461e-01
9.584162e-04  9.986387e-01
9.904341e-04  9.985932e-01
1.075361e-03  9.984727e-01
1.111285e-03  9.984217e-01
1.206575e-03  9.982865e-01
1.246883e-03  9.982293e-01
1.353799e-03  9.980777e-01
1.399025e-03  9.980135e-01
1.518987e-03  9.978434e-01
1.569732e-03  9.977714e-01
1.704332e-03  9.975806e-01
1.761269e-03  9.974998e-01
1.912292e-03  9.972858e-01
1.976176e-03  9.971952e-01
2.145627e-03  9.969551e-01
2.217306e-03  9.968536e-01
2.407433e-03  9.965843e-01
2.487858e-03  9.964704e-01
2.701184e-03  9.961684e-01
2.791423e-03  9.960406e-01
3.030778e-03  9.957019e-01
3.132028e-03  9.955587e-01
3.400589e-03  9.951789e-01
3.514193e-03  9.950182e-01
3.815524e-03  9.945923e-01
3.942989e-03  9.944122e-01
4.281088e-03  9.939346e-01
4.424107e-03  9.937327e-01
4.803460e-03  9.931973e-01
4.963929e-03  9.929709e-01
5.389570e-03  9.923706e-01
5.569620e-03  9.921168e-01
6.047198e-03  9.914440e-01
6.249217e-03  9.911595e-01
6.785067e-03  9.904054e-01
7.011736e-03  9.900866e-01
7.612971e-03  9.892415e-01
7.867298e-03  9.888843e-01
8.541894e-03  9.879374e-01
8.827253e-03  9.875371e-01
9.584162e-03  9.864763e-01
9.904341e-03  9.860279e-01
1.075361e-02  9.848397e-01
1.111285e-02  9.843375e-01
1.206575e-02  9.830069e-01
1.246883e-02  9.824446e-01
1.353799e-02  9.809548e-01
1.399025e-02  9.803253e-01
1.518987e-02  9.786578e-01
1.569732e-02  9.779534e-01
1.704332e-02  9.760875e-01
1.761269e-02  9.752994e-01
1.912292e-02  9.732122e-01
1.976176e-02  9.723308e-01
2.145627e-02  9.699969e-01
2.217306e-02  9.690115e-01
2.407433e-02  9.664030e-01
2.487858e-02  9.653018e-01
2.701184e-02  9.623875e-01
2.791423e-02  9.611576e-01
3.030778e-02  9.579036e-01
3.132028e-02  9.565306e-01
3.400589e-02  9.528992e-01
3.514193e-02  9.513676e-01
3.815524e-02  9.473178e-01
3.942989e-02  9.456103e-01
4.281088e-02  9.410972e-01
4.424107e-02  9.391951e-01
4.803460e-02  9.341700e-01
4.963929e-02  9.320530e-01
5.389570e-02  9.264628e-01
5.569620e-02  9.241089e-01
6.047198e-02  9.178966e-01
6.249217e-02  9.152823e-01
6.785067e-02  9.083866e-01
7.011736e-02  9.054865e-01
7.612971e-02  8.978423e-01
7.867298e-02  8.946297e-01
8.541894e-02  8.861680e-01
8.827253e-02  8.826146e-01
9.584162e-02  8.732634e-01
9.904341e-02  8.693399e-01
1.075361e-01  8.590245e-01
1.111285e-01  8.547006e-01
1.206575e-01  8.433448e-01
1.246883e-01  8.385901e-01
1.353799e-01  8.261174e-01
1.399025e-01  8.209015e-01
1.518987e-01  8.072372e-01
1.569732e-01  8.015308e-01
