# L/ctau      LLPfraction
1.518987e-04  9.998176e-01
1.704332e-04  9.997954e-01
1.912292e-04  9.997704e-01
2.145627e-04  9.997424e-01
2.407433e-04  9.997110e-01
2.701184e-04  9.996757e-01
3.030778e-04  9.996361e-01
3.400589e-04  9.995918e-01
3.815524e-04  9.995419e-01
4.281088e-04  9.994861e-01
4.803460e-04  9.994234e-01
5.389570e-04  9.993530e-01
5.569620e-04  9.993314e-01
6.047198e-04  9.992741e-01
6.249217e-04  9.992499e-01
6.785067e-04  9.991856e-01
7.011736e-04  9.991584e-01
7.612971e-04  9.990863e-01
7.867298e-04  9.990558e-01
8.541894e-04  9.989748e-01
8.827253e-04  9.989406e-01
9.584162e-04  9.988498e-01
9.904341e-04  9.988114e-01
1.075361e-03  9.987096e-01
1.111285e-03  9.986665e-01
1.206575e-03  9.985522e-01
1.246883e-03  9.985039e-01
1.353799e-03  9.983757e-01
1.399025e-03  9.983215e-01
1.518987e-03  9.981777e-01
1.569732e-03  9.981168e-01
1.704332e-03  9.979555e-01
1.761269e-03  9.978873e-01
1.912292e-03  9.977063e-01
1.976176e-03  9.976298e-01
2.145627e-03  9.974268e-01
2.217306e-03  9.973410e-01
2.407433e-03  9.971133e-01
2.487858e-03  9.970170e-01
2.701184e-03  9.967616e-01
2.791423e-03  9.966536e-01
3.030778e-03  9.963672e-01
3.132028e-03  9.962460e-01
3.400589e-03  9.959248e-01
3.514193e-03  9.957889e-01
3.815524e-03  9.954286e-01
3.942989e-03  9.952762e-01
4.281088e-03  9.948722e-01
4.424107e-03  9.947013e-01
4.803460e-03  9.942483e-01
4.963929e-03  9.940567e-01
5.389570e-03  9.935486e-01
5.569620e-03  9.933338e-01
6.047198e-03  9.927642e-01
6.249217e-03  9.925234e-01
6.785067e-03  9.918848e-01
7.011736e-03  9.916148e-01
7.612971e-03  9.908990e-01
7.867298e-03  9.905963e-01
8.541894e-03  9.897940e-01
8.827253e-03  9.894548e-01
9.584162e-03  9.885556e-01
9.904341e-03  9.881754e-01
1.075361e-02  9.871679e-01
1.111285e-02  9.867419e-01
1.206575e-02  9.856131e-01
1.246883e-02  9.851359e-01
1.353799e-02  9.838714e-01
1.399025e-02  9.833369e-01
1.518987e-02  9.819207e-01
1.569732e-02  9.813222e-01
1.704332e-02  9.797365e-01
1.761269e-02  9.790665e-01
1.912292e-02  9.772914e-01
1.976176e-02  9.765414e-01
2.145627e-02  9.745550e-01
2.217306e-02  9.737158e-01
2.407433e-02  9.714935e-01
2.487858e-02  9.705549e-01
2.701184e-02  9.680696e-01
2.791423e-02  9.670201e-01
3.030778e-02  9.642419e-01
3.132028e-02  9.630690e-01
3.400589e-02  9.599646e-01
3.514193e-02  9.586543e-01
3.815524e-02  9.551874e-01
3.942989e-02  9.537245e-01
4.281088e-02  9.498548e-01
4.424107e-02  9.482225e-01
4.803460e-02  9.439060e-01
4.963929e-02  9.420859e-01
5.389570e-02  9.372746e-01
5.569620e-02  9.352466e-01
6.047198e-02  9.298882e-01
6.249217e-02  9.276305e-01
6.785067e-02  9.216681e-01
7.011736e-02  9.191572e-01
7.612971e-02  9.125295e-01
7.867298e-02  9.097400e-01
8.541894e-02  9.023814e-01
8.827253e-02  8.992862e-01
9.584162e-02  8.911267e-01
9.904341e-02  8.876971e-01
1.075361e-01  8.786627e-01
1.111285e-01  8.748683e-01
1.206575e-01  8.648817e-01
1.246883e-01  8.606911e-01
1.353799e-01  8.496725e-01
1.399025e-01  8.450534e-01
1.518987e-01  8.329214e-01
1.569732e-01  8.278414e-01
1.704332e-01  8.145148e-01
1.761269e-01  8.089417e-01
1.912292e-01  7.943417e-01
1.976176e-01  7.882449e-01
2.145627e-01  7.722975e-01
2.217306e-01  7.656486e-01
2.407433e-01  7.482879e-01
2.487858e-01  7.410629e-01
2.701184e-01  7.222350e-01
2.791423e-01  7.144154e-01
3.030778e-01  6.940830e-01
3.132028e-01  6.856581e-01
3.400589e-01  6.638061e-01
3.514193e-01  6.547750e-01
3.815524e-01  6.314163e-01
3.942989e-01  6.217906e-01
4.281088e-01  5.969724e-01
4.424107e-01  5.867788e-01
