# L/ctau      LLPfraction
1.518987e-04  9.998420e-01
1.704332e-04  9.998227e-01
1.912292e-04  9.998011e-01
2.145627e-04  9.997768e-01
2.407433e-04  9.997496e-01
2.701184e-04  9.997190e-01
3.030778e-04  9.996847e-01
3.400589e-04  9.996463e-01
3.815524e-04  9.996031e-01
4.281088e-04  9.995547e-01
4.803460e-04  9.995003e-01
5.389570e-04  9.994394e-01
5.569620e-04  9.994207e-01
6.047198e-04  9.993710e-01
6.249217e-04  9.993500e-01
6.785067e-04  9.992943e-01
7.011736e-04  9.992707e-01
7.612971e-04  9.992082e-01
7.867298e-04  9.991818e-01
8.541894e-04  9.991116e-01
8.827253e-04  9.990820e-01
9.584162e-04  9.990033e-01
9.904341e-04  9.989700e-01
1.075361e-03  9.988817e-01
1.111285e-03  9.988444e-01
1.206575e-03  9.987454e-01
1.246883e-03  9.987035e-01
1.353799e-03  9.985924e-01
1.399025e-03  9.985454e-01
1.518987e-03  9.984207e-01
1.569732e-03  9.983680e-01
1.704332e-03  9.982282e-01
1.761269e-03  9.981690e-01
1.912292e-03  9.980122e-01
1.976176e-03  9.979458e-01
2.145627e-03  9.977699e-01
2.217306e-03  9.976954e-01
2.407433e-03  9.974981e-01
2.487858e-03  9.974146e-01
2.701184e-03  9.971932e-01
2.791423e-03  9.970995e-01
3.030778e-03  9.968512e-01
3.132028e-03  9.967461e-01
3.400589e-03  9.964675e-01
3.514193e-03  9.963497e-01
3.815524e-03  9.960373e-01
3.942989e-03  9.959051e-01
4.281088e-03  9.955547e-01
4.424107e-03  9.954065e-01
4.803460e-03  9.950135e-01
4.963929e-03  9.948473e-01
5.389570e-03  9.944066e-01
5.569620e-03  9.942202e-01
6.047198e-03  9.937260e-01
6.249217e-03  9.935170e-01
6.785067e-03  9.929629e-01
7.011736e-03  9.927286e-01
7.612971e-03  9.921073e-01
7.867298e-03  9.918446e-01
8.541894e-03  9.911480e-01
8.827253e-03  9.908535e-01
9.584162e-03  9.900728e-01
9.904341e-03  9.897426e-01
1.075361e-02  9.888675e-01
1.111285e-02  9.884975e-01
1.206575e-02  9.875168e-01
1.246883e-02  9.871021e-01
1.353799e-02  9.860032e-01
1.399025e-02  9.855386e-01
1.518987e-02  9.843074e-01
1.569732e-02  9.837869e-01
1.704332e-02  9.824078e-01
1.761269e-02  9.818249e-01
1.912292e-02  9.802803e-01
1.976176e-02  9.796276e-01
2.145627e-02  9.778982e-01
2.217306e-02  9.771674e-01
2.407433e-02  9.752316e-01
