# L/ctau      LLPfraction
1.518987e-04  9.998140e-01
1.704332e-04  9.997913e-01
1.912292e-04  9.997658e-01
2.145627e-04  9.997373e-01
2.407433e-04  9.997052e-01
2.701184e-04  9.996693e-01
3.030778e-04  9.996289e-01
3.400589e-04  9.995836e-01
3.815524e-04  9.995329e-01
4.281088e-04  9.994759e-01
4.803460e-04  9.994119e-01
5.389570e-04  9.993402e-01
5.569620e-04  9.993182e-01
6.047198e-04  9.992597e-01
6.249217e-04  9.992350e-01
6.785067e-04  9.991694e-01
7.011736e-04  9.991417e-01
7.612971e-04  9.990681e-01
7.867298e-04  9.990370e-01
8.541894e-04  9.989545e-01
8.827253e-04  9.989196e-01
9.584162e-04  9.988270e-01
9.904341e-04  9.987878e-01
1.075361e-03  9.986840e-01
1.111285e-03  9.986400e-01
1.206575e-03  9.985235e-01
1.246883e-03  9.984742e-01
1.353799e-03  9.983435e-01
1.399025e-03  9.982882e-01
1.518987e-03  9.981415e-01
1.569732e-03  9.980795e-01
1.704332e-03  9.979150e-01
1.761269e-03  9.978454e-01
1.912292e-03  9.976609e-01
1.976176e-03  9.975828e-01
2.145627e-03  9.973758e-01
2.217306e-03  9.972883e-01
2.407433e-03  9.970561e-01
2.487858e-03  9.969579e-01
2.701184e-03  9.966975e-01
2.791423e-03  9.965873e-01
3.030778e-03  9.962952e-01
3.132028e-03  9.961717e-01
3.400589e-03  9.958441e-01
3.514193e-03  9.957056e-01
3.815524e-03  9.953382e-01
3.942989e-03  9.951828e-01
4.281088e-03  9.947708e-01
4.424107e-03  9.945966e-01
4.803460e-03  9.941346e-01
4.963929e-03  9.939392e-01
5.389570e-03  9.934212e-01
5.569620e-03  9.932022e-01
6.047198e-03  9.926214e-01
6.249217e-03  9.923759e-01
6.785067e-03  9.917248e-01
7.011736e-03  9.914495e-01
7.612971e-03  9.907197e-01
7.867298e-03  9.904111e-01
8.541894e-03  9.895931e-01
8.827253e-03  9.892473e-01
9.584162e-03  9.883306e-01
